Text	Emotion
 Thank you . 	3
 I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . 	3
Her elation took her into her clothes , back to the kitchen to leave Phoebe a scrawled memo , and out of the front door . 	2
 Good.So we don't have to work.How nice ! 	2
Someone borrowed my textbook and deliberately did not return it.	0
I'm worried sick that she might leave me one day . 	4
It's your turn , sir . I'm sorry that you had to wait . Saturday is a busy day for us . 	4
When I was confronted by a policeman one night around 11 o'clock.  I was afraid when they threatened to take me and my girl to the gallows.	1
When I was accepted as a student.	2
 Absolutely . 	3
During the Summer, at my workplace, a person kept interfering with my tasks and making unfounded remarks.  I felt hatred for him but it stopped when I realized that he just longed for attention.	0
A friend told me it would be better for me not to be on familiar terms with another friend, although, in my opinion he had no reason to say such things. He only said so hoping that I would search support from him (that, however, was not necessary).	0
I was awakened by a dream in the middle of the night. I dreamt that a stranger was in my house.	1
At one of my close friends saying she didn't like the way I am nice to people I don't know, or who have been nasty to me.	0
 No , sir . 	3
Tonight in bed when I realised how bad my relationship with my friend was.	4
 Oh , no . That's bad news . 	4
 But I get scared the moment I see a needle . How could I stand having needles in my body for hours on end ? 	1
I work at a day care centre, and one day when the children were outdoors a four-year old boy disappeared from the yard.  I was not looking after them then, but as the manager it was me who was responsible.	1
Zina , can I talk to you about something personal ? 	3
Feeling thoroughly disquieted , she left her room in a rush . 	1
When I was accused by my brother of having stolen a 5 kwatcha note from my mother's bag.  I was beaten up for this, the money was found later.	0
 Thank you . 	3
 She can't answer you . 	3
 how did your day go ?	3
 well , I'm really worried about my grades . I didn't think this course would be so stressful . 	4
 Come in ! Quickly ! 	1
 How ? 	3
 You can ’ t just throw me out on the street ! 	0
 Yeah , there isn ’ t a bad seat in the place . 	2
 But I don't know what else I can do . I am willing to work hard . Sometimes I make mistakes and the boss is not happy . 	4
Sumtimes d fear of being jobless after school gives me the creeps!     of an undergraduate	1
When I was on holiday, walking back to where I was staying, at night, and two men started closely following me. There was nobody around that I could run to.	1
 OK , Mum . I'll invite my friends home . 	2
 Yes , and hurry up ! 	0
 Spring . 	3
There was a nervous laugh at this topical sally provided by the Zola trial . 	1
Heated discussion with spouse concerning new house.	0
Dad , why are you taping the windows ? 	3
This situation happened when my friend John ate my banana which I kept in the cupboard.	0
In the 12/83 my boyfriend asked me to forget him, as it would be easy.	4
 I ’ m sorry , Janet . I left it at home . I ’ ll bring it back in the morning . 	4
 No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about . 	4
When I received a letter of acceptance to CAL.	2
Only afterwards , when Tommy disappeared and Maudie seemed so heartbroken , then I began to wonder . 	4
 crazy ! 	3
Good dinner on the National Day.	2
 I am not sure about the name of the film , but I know it's a romantic one . 	3
 Get in . 	3
I feel excited when I come up with something that I can have Jack to help me with , I 'm always ready to hear what he has . 	2
Being involved in a car accident and having my thumb caught in the glove compartment. My sister and I had a Fear of finally telling my parents, since my sister was the driver.	1
Oh my god ...  did an awesome play on ....love that scene.	1
I felt very lonely, was very dissatisfied with myself when I realised that I could feel very jealous of other women because of my boyfriend.	4
When I got a first class in the twelveth standard exams, I was very surprised and happy and I had a very good time with my friends.	2
I am really sad that nobody wants to do it like I have done it for them . 	4
After receiving the grade on the paper mentioned in FEAR.	4
When I passed the driving test after three failures.	2
 I ’ m sorry , Jim . 	4
 I'm sorry . 	4
Hi , Mary . You look pale today . What's the matter with you ? 	3
5 minutes till pizza express pizza is cooked 	1
I hate to see the abuse of animals . 	0
I was angry the other day because the teacher told me to sweep some orange peels. It was my friends who were supposed to sweep, but the teacher told me to do it.	0
 I love stir fry crispy bitesize vegetables covered in a mixture of soy sauce and oyster sauce . Wilted greens and fresh bean sprouts . Throw in some onion and garlic and ginger ! Mmm ! Mmm ! It ’ s almost lunchtime . I would die for a plate of stir fry right now ! 	2
When my parents and sister went on a trip and I was separated from them for about three months.	4
 It was nice to see you , too.And please give my regards to Mrs.Robbins . 	3
Once while crossing a road I was overcome with fear.	1
I felt very sad when I saw the first list from the names of the people who entered at the University and my name wasn't there.	4
When my nephew was born. The birth was hard, it was a big baby.	2
 Ok . 	3
I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.	1
I was physically assaulted and sexually abused about a year ago. Just the feeling that I might not get away intact, or even alive, produced fear.	1
To the dismay of German suppliers , Mr Lopez is also eager to share this advice with foreign competitors . 	1
A few monthe ago, when my brother's wife told me that I had bad manners.  To make matters worse she did not let me use their telephone as she only allowed people of her own tribe.	0
I'm so nervous about this oral test . 	1
Good game ? 	3
` The problems start when he becomes more excited and frisky than usual . 	2
 is not a strategy  is not a factor is not an option	1
My mother's death.	4
We are more despondent and needy than ever ! 	4
 Sorry , we ' re sold out right now.Please come back next week . 	4
When my favourite football team made a goal and was about to win the Cup of England.	2
Continous fear of a nuclear war.	1
 Why not ? 	3
 Stay away from me . 	0
My grandmother was about to die, and it had the effect that at night, after having read a book, and once in bed, in perfect darkness, the fear arose that I too may suddenly die.	1
 Thank you . 	3
One evening, I was with a group of friends having a talk.  There was a very trustful and joyful atmosphere.	2
 Sure . Which button do I press to shoot ? 	2
Eating biscuits and drinking Milo (Chocolate energy drink made with milk and usually drunk warm) with my friend at College. We get on really well, don't withold any feelings about each other's friends and are pretty good at cheering each other up when we are homesick.	2
I was afraid when I met my Uncle because this time I was with my boyfriend I thought I was not going to be given pocket money.	1
When my grandmother died.	4
During a family discussion on my future and my prospects as a student, they accused me of not bothering about looking for a job to assume my financial situation.	0
 Oh , so it was my fault , was it ? If I hadn't warned you in time it would have been much worse . 	0
 I'm really sorry I let you down . I'll make it up to you somehow . 	4
 I feel the same way . 	4
 He ’ ll finish writing in a minute . 	3
You shouldn't have told her the truth.What can we do now ? 	0
Contented workers are more likely to be profitable . 	2
My sister was in a hospital, later in the evening we received the information that she had died.	4
 I see . 	3
 I'm so sorry to disturb you so early . 	4
` In fact , " said Helen , ` I 'm not feeling particularly glum about all this . 	4
Someone drove into my car and then denied that it had happened.	0
At that stage , Sunderland were good value for the lead and Mr Crosby must have been a contented man . 	2
Before important sports events.	1
She began to feel exasperated . 	0
 Yes , I do . 	3
My living and working conditions at home were unbearable. We used to live in a three room flat together with two more families. The discords caused a change - one of the families moved out. The other family stayed with us but I drifted away from my fiancT. In fact we were two families in the flat. Then I found myself alone in the struggle for this life because my fiancedid not stay next to me my grief and sorrow took on large proportions. I wanted to commit suicide but instead I threw myself against the cause of the irritation.	4
My father gave money to my brother but not to me.	4
 A lot . I probably got to moonlight for the rest of my life , but so what , it ’ s worth it . Come on , get in . Let ’ s take a drive . 	2
I'm expecting an extremely important phonecall any minute now #terror #opportunity	1
 I know you don't hear me right know , please calm down . Anyway , I don't wanna part . I'll drop by tomorrow . 	4
This year I don't intend to drive in the snow, and ESPECIALLY not on the motorway. RESPECT mother nature 	1
I found a problem in homework which would not get solved although I tried my best.	1
They suffered the heartbreak of losing three children through premature births . 	4
When my sister lost her only son, who was sixteen years old.  I felt very bad about it as this was the first death in my family and then I learned slowly to understand to life.	4
 I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . 	3
 I'm really sorry I let you down . I'll make it up to you somehow . 	4
I was too miserable to giggle , but I wondered if the fiances had when he postured on his lawn . 	4
When I was not selected to go to the University of Malawi I felt very sad.	4
Since the war the CIA has been very alarmed at some of the left-wing British governments , many of whose politicians it regards as friends of Moscow . 	1
When I lost a wallet while travelling, since it belonged to the group I was very afraid.	1
I felt thrilled to be back in Abyssinia and stared entranced at the arid landscape of the Danakil desert . 	2
When my friend was involved in a car accident.	1
 12 	3
My cassmate laughed at me when I was being scolded by the teacher.	0
A fear from the loss of a close friend as a result of his behavior.	1
When I found out that my father had lung cancer and they did not know how long he would live.	1
I learnt from the newspaper that I had been accepted at the Chinese university of H.K.  It was 7 o'clock in the morning.  Later I told my family and relatives about it and had tea with them very joyfully.	2
Someone knocked on the door when I was alone at home (though there was a door bell).  I looked through the peep hole but it had been covered.  I called my sister but she could not help me as she was hundreds of kilometres away.	1
\ I have been hearing rumours that you have not been allowing people in your room,\" he said.  This sentence really shot my heart.  I failed to find the right words, instead I walked away without uttering a word."	0
 Bye . 	3
Found out that me and my best friend are both chosen for the English lectures.	2
` I don't seem to be getting anywhere with this damn machine , " he said with exasperation . 	0
 Oh , good . If you could come around six thirty or seven o'clock , that would give us some time to chat a whit over a glass of wine before dinner . 	2
 It starts at 8 	3
 I'm sorry , sir . 	4
When my girlfriend's nephew passed away.	4
 Oh no . I broke your vase accidentally . 	4
When I was hitch-hiking and I went with a man who drived like a madman.	1
 Why can't I call the police now ? He was definitely following me ! 	1
They have also aroused Protestant anger against Dr Runcie , at the same time as he has become involved in a row over his attack on the ` Pharisees " of British society . 	0
 sounds good ! Let's go ! 	3
Oh , sir . I lost my passport . 	4
Two guys were fighting murderously and I feared that one of them would be killed.	1
I feared that my dog's eye was infected too much. He had played around in the weeds and a foxtail had gotten under his eyelid. I took him to the vet and I feared that he may go blind because of the foxtail.	1
Before an important exam.	1
 how was your day ?	3
When I finished a relation after four years, leading to much sorrow for the other one and myself (\although it was the best solution\")."	4
Most were more concerned with the courts being ` too lenient " . 	1
My father began to say incoherant things concerning my brother's and my own behaviour towards him.  His biased (authoritarian) and ridiculous point of view made us angry.	0
 Hehe .. sure 	3
 you bet it ! 	3
When I heard my sister got in a bad car accident.	4
 like what ? 	3
 I'm sorry , but we usually don't do it . It is our policy . 	4
When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.	1
A person ignored my advice, did not pay any attention to what was saying. She acted as though I wasn't even there. We were doing group work so everybody had the right to speak yet she just ignored me. She made me feel insignificant.	0
Bert , a lanky , lugubrious individual , declined . 	4
Tug had just one glimpse of the girl 's horror as her mouth and her eyes opened wide . 	1
 Okay . 	3
 Oh , sure . 	3
A friend said : ` Joan is thrilled Katy has found such a nice chap . " 	2
 Yes . Don ’ t you think he should be pitied rather than accused ? 	3
 Thank you . 	3
It smells like an ashtray in here ! 	0
Awesome time at @teamoneill 's Fighting Fear premiere last night in Leicester Square - Check out the HD trailer on our Facebook page 	1
How on earth , when her heart was thumping and her body drowning in a wave of heat , could she stay angry at him ? 	0
 What is a sixties party ? 	3
 I was taking a walk when a young man came at me from nowhere and snatched the bag off my hands and ran away . 	4
Going to be a long long day in work. Also not looking forward to these photos from last night 	1
It smells like an ashtray in here ! 	0
 I don ’ t want to . 	0
When I decided not to out any longer with a girl whom I liked quite a lot.  This made me feel low for a some time.	4
 Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . 	3
 I am still waiting for their call . 	3
 Sorry . You have to buy your ticket at the next counter . 	4
Je ferais bien mon shopping coiffure pour le prochain Grand Webze mais y a rien qui me branche. Surtout pas Sylvie Tellier en tout cas 	1
 Yup . 	3
Just walked past a Asian girl and she grabs her BF's arm. Now I know all races even my own are afraid of me. #boss #scandalous	1
 I have rights , don't I ? 	0
A close relative was at odds with a very powerful firm.  All his things had been taken, His dad had died a little before this event.  He gathhered his children and vowed to give them a good life with a new start - the words were hollow, he bit back his tears .....I asked to be excused and then went and cried in the loo.	4
 This is interesting , Ms.Parker . 	2
 I see . 	3
Lenin was furious when he learned about it . 	0
He told me he was  with me. told me not to tell him I felt those butterflies too.	1
Several years ago my mother died. She had been ill for a long time, but nevertheless her death came unexpectedly. I did not and I still do not want to believe that it is true.	4
 Certainly . 	3
 How come ? 	3
 Phew ! . . . Wait a minute , CRASH ? ? ! ! Spyware ? Trojans ! What ? where ? when ? ! 	1
 I am sorry , Bob . If you had told me you were coming up , I would have kept tonight free . But you didn ’ t tell me . 	4
 Yes , of course.It was nice to see you . 	3
Julie 's devastated husband Tim , 32 , was last night preparing to fly from their home in Northampton to identify his wife 's body . 	4
 1808 . The toilet doesn ’ t work properly , the water doesn ’ t run in the shower . 	3
An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed \clever people\" and he had \"immediately thought of me.\""	2
 What ’ s up ? 	3
Oh , my God ! I've been cheated ! 	0
 I'm sorry I've already gone through my paycheck for the week . 	4
 Well , I think personal development is much more important than simply having a superior living environment . 	3
 Maybe tonight . I don't know . I don't know how to tell her . 	4
Losing a pet chick. Our family had just put the chick outside a few days before and then one morning it was gone.	4
In time , perhaps , she would make efforts to conceal her resentment about his ability to make her feel guilty , and he would make efforts to conceal his anguish about the loss of her . 	4
 I'm afraid I don't quite understand . 	4
When I passed the grade 7 exam.	2
When I realized that I could not communicate properly with my closest friend.	4
 Wow ! 	3
Every time I went home with my school report.	1
I was happy when I understood that the girl I liked was in love with me.	2
Death of a relative.	4
The British , however , remained suspicious of American motives , and resentful of their advice . 	0
 Oh , no . 	3
 Oh , don't you ? God save me ! 	0
Looking down at the dead man Wycliffe felt guilty because he was experiencing a sense of mild elation . 	2
 She is as meek as a lamb . She never goes against anyone or anything . She's as good as gold , you know ? 	3
Within the next few months -- and long before the next election -- they will have to settle these questions or see the spectre of the Winter of Discontent raised to haunt them by gleeful Conservative politicians . 	2
Hey , guys ! 	3
She was getting agitated . 	1
 can you explain me your feelings ?	3
I had to call someone and make an appointment for a conversation. I was very afraid to fail.	1
The loss of my mother.	4
When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.	2
This was when my boyfriend told me that I was double-crossing him with a certain boy.	0
I spent a weekend in San Diego visiting my boyfriend Rob. We were at the airport and my plane was just about so leave. After saying goodbye, I boarded the plane. It was the hardest thing to do and it was a sad trip home.	4
The  will be  into   and it will keep on saying, Is there any  A muslim hell fire.	1
 Let's get a soft drink . 	2
A friend was unpunctual, we wanted to prepare ourselves for an examination.	0
I was very happy when I passed the B.A with first class marks.	2
 Yes , I do . I think that science is making us wiser . What do you think ? 	3
This morning during my sleep I had a feeling that someboby was attacking me.  I started crying in my sleep and then my room-mate woke me up.	4
 Use the stairs , never the elevator . 	3
My ex a quadruple hoe!! Sumbodi need to gne stop playin w/ her Lil scary...DA LOUDEST DOG N DA POUND KEEP HIS TAIL TUCKED N HIS ASS!! 	1
On a dark night I felt that there were several people near me and I did not know who they were.	1
A certain Area Party Secretary came home in the morning and said we had to leave our home and build somewhere and the reason being that they wanted to establish a market. The Chairman knew nothing about it and was very angry.	0
Being sexually assulted on a bus.	0
At the age of 16 I had gone to see a film in a nearby village, about 8 kms  from my home.  I started walking as there was no bus.  I had to cross hills and as it was dark I could not identify the path.  Half way through it started raining and as there was no shelter I ran four kms to reach home.	1
When my dog died.  I had reared it for nearly three years.  It had been ill for several days and had not eaten anything.  One morning I found it dead.	4
When I was mistakenly accused of being a thief when I accidently gave a fake coin at a counter.  I realized this before I handed over the coin, but the man called me a thief and called a witness.	0
I sensed this feeling when I passed successfully the second tour of a competition.	2
 I have been looking forward to this performance all month . 	4
 Thank you . But I don't think I'll bother . 	2
 Sounds nice . 	2
Hi , Mary , long time no see . 	2
But Kirkwood , who was a particularly dejected figure after Monday 's decisive 1-0 defeat by Canada , injected some pride back into Irish ranks in the dying seconds when he flicked home the winner . 	4
My sister came back home and reproached me for not having tidied up the house, although I had been working all morning and she had done nothing.	0
 Oh , that's new to me . So what's on everyday ? 	3
 How much ? 	3
Passing (by car) over a bridge where only one car could pass. There was a precipice on both sides, no protection grilles, and the bridge was completely muddled.	1
 Olympus . 	3
He was incensed , stunned , at her action , and stood rigid with anger as he felt the slime roll down his cheek . 	0
Hi , Mr . Wang . Do you feel like going boating with me ? 	2
I was a passenger in a jumbo-jet which was accelerating down the runway and almost at the point of take-off, when the pilot suddenly braked and put the engines into reverse thrust, in an obviously urgent attempt to stop the aircraft. The hostesses show signs of concern and my first thought was that something was on the runway in our path and that we were in danger of hitting it.	1
He was miserable at being left out . 	4
We were at school, in the room for audiovisual classes.  We were watching a film, and just behind me two classmates were bothering me with their mocking and shoves.  I reacted angrily (I suppose)  by hitting one of them.	0
When I missed the chance of becoming a graduate in mining engineering, after having prayed one week in the church I was not even selected.	4
When my grandmother died.	4
A break-up with someone I really liked.	4
 Yes , that's what I plan to do . Except I won't make the chicken soup.Right now I don't think I could swallow more than a spoonful of it . 	4
 How was it ? 	3
When my son was born.	2
When a relative, who had come to our place, created untidyness and dirtyness.	0
A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.	1
As he told Barbara afterwards , he had never felt more depressed . 	4
Yesterday I read in the newspaper that a 30 year old woman had abused her 2 month old son and had caused his death.  I was very angry after reading this as this is not a human act and to abuse so fragile a life is not a forgivable sin.	0
A neighbour's girl had disappeared and many people were looking for her.  Someone had gone to notify the police.  Something had certainly happened to her.	1
 I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! 	2
When my boyfriend wanted to leave me, I felt sad and melancholic.	4
Stupid girl , making me spend so much money , now I have to get it from the ATM ... 	0
My classmate always borrowed my notes and would not return it to me on time.  When I had a test she was selfish and irresponsible and so delayed my studies.	0
Children at Wanborough primary school near Swindon are so worried about the hazards they experience on the way to school , they 're calling for a new footpath . 	1
Philip was mad at himself for not taking the cutters off the boy . 	0
 See you on Moday . Have a great weekend . 	2
 It gives me a lot of pressure and I feel depressed . 	4
 Oh , you men ! You are all the same . 	0
My good friend misunderstood me.	4
One itemised phone bill to Bedworth 's horrified mother ran to 34 pages of listed calls , the jury heard . 	1
Saiu nos cinemas americanos um remake de The Thing, filme que na minha infância me fez ficar noites sem dormir. 	1
I had an implicit agreement with my sister about meeting her, however she had not understood the situation the same way so she did not turn up.	0
When I saw a man hitting a child of 2 years without any consideration, simply because the child had been leaning against a window.	0
When students in our working group showed no responsibility or interest in our work.	0
When I found my baby whipped by my Auntie. I was really sad and up to this moment my sadness is still on.	4
At work being shifted to another area.	0
A young, close relative of mine died, leaving behind a baby a few months old.	4
Hi , Walter ! 	3
 I'm pretty sure I'll be all right . In fact , I'd be delighted to come over and celebrate your birthday with you . What time are you planning to start ? 	2
 No , you haven ’ t . You just don ’ t care about me . You ’ re an indifferent husband . 	0
When I was about to write my Junior Certificate Exams, I received sad news telling me that my elder sister had passed away.	4
When I had my first boyfriend.	2
 It's very nice . I haven't heard live music in a while . This is fun . 	2
I feel devastated and it is much worse for my poor mother . " 	4
I came across a friend with whom I had lost touch for a long time.	2
 He quit 	3
 She must be deaf . 	3
I was in my village when a bull jumped over a fence and started chasing my friends and me.  We were very frightened till we climbed up a tree.	1
 It's a brick ! I can't believe how stupid I was . Damn it ! 	0
Your brand new car is so excellent . I like it very much . 	2
It 's not just health problems they suffer but many people can get really depressed living in houses where they have to keep washing the mould off the walls . 	4
` It is that hard , " he said ominously , and I thought of John Maggovertski 's sadness for a pretty girl who had whored herself to pay for the white powder . 	4
When I passed the last exam, which I had doudts about.	2
Many years ago I saw the film \Psycho\" by Hitchcock for the first time. When I saw the film I was alone and afterwards I hardly dared to go to bed and hardly was able to sleep."	1
 I guess . 	3
One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . 	0
Social situation - at the pub - a close friend of 2 years told the group around us of advances I had made.	4
 I can ’ t believe it . I guess I ’ ll be here until 10 again tonight . 	4
I broke up with my boyfriend of seven months, but it was a very indepth relationship and so after feelings of grief and loss were over I felt an immense sadness."	4
When I failed a test at my primary school.  I was then in grade 7 and we were about to take the main exam.	4
 That's true . My bad for not calling . 	4
After my final examination at school I was glad that the examination was over and that I had passed it.	2
No really strong such emotion. Just falling off to sleep when I caught sight of a 5 cm diameter spider crawling onto the pillow beside me.	1
When I got to know that my father had passed away.	4
Just received news that I'm taking on the @OutsideTheBoxPT 400 Rep Challenge tomorrow. Sounds like bedtime for me 	1
 I'd like to . But I'm not myself today . 	4
 Black Rose . 	3
 Thirty minutes in gym at lunch time . 	3
His poor scrawny hands grip the arms of a wheelchair pushed by his adoring wife with the now familiar expression of a too-bright smile and devastated eyes . 	4
I neva was da type to bite ma tongue andexplain maself 2 anybdy,none but god.	1
 You got it . 	3
To talk in a meeting - expound my thoughts on a subject. Fear delayed me acting to do this.	1
Occured while preparing for a midterm in Social Welfare that I thought was going to be very hard and felt unprepared for.	1
When I nearly collided with another car.	1
 Thank you.You ' re partial . 	2
When the man I loved decided to leave me forever.	4
 You are so paranoid ! Not everybody is a crook , you know . 	0
I just had a terrible week . 	4
When I received my report card in C.O.U.  I was afraid of obtaining low marks, but they were much higher than expected.  	2
 Wow ! 	4
My grandfather's funeral.	0
Doisneau is a small , bird-like man with mischievous eyes and a gleeful laugh . 	2
Even my father wasn't too pleased about continually having to clean his porch roof , which our residents had covered in droppings and other nest debris . 	2
Third highest grade in the class and the best answer given for one question (the question was graded by the professor and he indicated he liked my answer).	2
Bank customers are notoriously slow to shift their business , even if they are miffed . 	0
How are you ?	3
I am interested in hearing from women about their fascination and horror with cars , especially women in the Yorkshire region . 	1
 I think so . 	3
When I was locked out of my room by my room-mate's friend.	0
 In what ? 	3
 That's horrible . Was that the first time you'd shown up late to work ? 	0
A man treated his dog very badly - he insulted and beated him until the dog kept lying on the floor with his tail drawn in.	0
 How often ? 	3
@daShortFry is a bad ass...watch out tweeter world... has come of age #bringthepain	1
One of my colleagues accused me of having stolen his iron and I was sure that I had done no such thing.	0
Smiling across the room at Laura 's tall , slender figure , she added , ` Besides , everyone in your office was so pleased at your promotion . 	2
When you are unjustly assessed at something you are sure to have been right.	0
 That's ok , keep going , you ’ re moving ahead by leaps and bounds . Watch your dynamics ! Keep your elbows lifted . Remember to stroke the keys , don ’ t pound . That ’ s better ! Remember that as a pianist or any 	2
When I got lost in New York city a late friday night with a friend of mine.	1
Misunderstood deliberately by a close friend.	0
When I try to get closer at a person and she misinterpreted me.	4
I have always told hubby I could do FACTOR but after watching a few old episodes......SMDH!	1
Hello ? 	3
 Not a problem , sir . Please remember us in the future . 	1
When I see children on T.V from areas devastated by drought and war.	4
 Sounds good . What do we need to bring ? 	2
I was afraid when my mother left me alone to live in our house for one month.	1
 No , Madam . I don't think I do . 	4
The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy . 	2
@OfficialPWG was an AMAZING show. Thnx @JoeyRyanOnline @KILLSTEENKILL @daveyrichards83 @theChrisHero and everyone else 4 a great show!	1
I was terrified during an axcursion in Italy. I was lost and left alone in this unfamiliar country.	1
The headmistress at a secondary school accused me of banging the classroom door when I didn't in front of the whole class.	0
I remember when I was a child of a storm that made me terribly afraid. I thought that the house was coming down and that in the next day I would be dead. Everybody was awake and I stayed all night in bed without falling asleep.	1
What a mess , Jack ! 	0
 Well , I ’ m going to write a letter of complaint . 	0
But Christine felt vexed when at the next Pack Meeting Sarah lost points for the Six through being a slowcoach . 	0
When I went home alone early in the morning, I had to go through a wood.	1
` What did you mean , Rachel ? " her mother asked slowly , ignoring her husband 's indignant look . 	0
At the death of my husband's father's mother which occurred during university examinations and therefore I was unable to attend her funeral.	4
 About what ? 	3
I went shopping with my parents - my father payed everything for me, I was very glad.	2
Mr C took my drawing pens, without having asked for my permission first, and lost them.  He did not tell me about it till I asked him and then did not try to find them.	0
 Is that so ? 	3
 There wasn't really anything that I could do . There's always been a lot of bad blood between my manager and myself . If I had said anything , he would have fired for me for sure . 	0
 I'm sure you'll have a good time . 	2
I found a baby opposum on the road and took it home and cared for it for a week. It had to be force-fed and carried in a fur pouch under my jersey. My father had the vet put it to sleep as he said they carried diseases.	4
 Don ’ t worry about it , I ’ ll call my friend and have him take care of it . I can ’ t believe he was stalking you all these years . What a nut job ! 	3
 really ? It sounds interesting . 	2
When I get a hug from someone I love.	2
 Huh ? 	3
When a very close friend with whom I have a very intimate and bodily relationship (he had a girlfriend) started to avoid me and didn't want to talk to me any more.	0
 What ? You're overcharging me ! 	0
 Then my son drove into a tree 	4
As we were going to Area 10 a dog chased me. I was afraid it might bite me.	1
 it was . The hijackers didn't have any respect for human life not even their own . 	0
We were pleased to see the Canadians do so well in the World Cup after they had beaten us over there " ! 	2
 Great . 	2
Getting terrible meals, but paying heaps for them.	0
When I heard the news that my grandfather had died.	4
 Yes . 	3
Getting a letter from a friend who did not write for a long time.	2
I felt very angry when a mishanga seller robbed me of the transport money I had to go to school.	0
Giving this a try.. No owl lamp #sleeptweet	1
Labour supporters must be in despair at not being able to race away from the Tories in the run up to the election . 	4
Do you love me ?	3
 At five . 	3
Through some unexplained process , magnetic fields produced by the electric currents flowing in the cables seem to induce , say the depressives , the darkest feelings of gloom and despondency . 	4
 Yeas , when will you buy a house ? 	3
I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.	2
I was spending the week-end with some friends.  We were waiting for another friend and we went to the meet him at the bus stop, a  woman we met there told us that the coach had already left.  I was afraid that I would not see my friend, but at last we found him.	2
A friend of mine told me that my boyfriend had been with another girl this Summer.  We had been going out together for four years and we had not done so for the last three months.  I could not believe it.	4
When my girlfriend was afraid and anxious the day before taking her exam.	4
  #Regrets - leave it all behind and enjoy life InshAllah!	1
He didn't seem offended , he didn't exactly appear contrite . 	0
 If only I could join it ! 	3
I lost my way on a trip in the mountains.	1
 Not funny . 	3
Being refused to attend the neuropsychology lecture in the medical university.	0
@fmpundit, i will play in 4º Wales division, 	1
I was skiing with friends and they wanted to ski-jump. I did not want to be left behind, so I braced myself and followed them.	1
What are we going to do ? I can't get the car out of this ditch . I'm stuck ! 	0
My friend Jean is very beautiful . 	2
Rachel could see the reasoning behind that , but nevertheless felt angry towards Damian Flint -- not because he had so obviously done the right thing , but because he was so clearly in complete control of a situation that had always been beyond Rachel . 	0
` The popular story is that he was so heartbroken he ran off to join a religious order , and has since been ordained . " 	4
During military service a superior reproached me unjustly. This led to friction in a lot of situations.	0
My class winning against another class in a football match.	2
A friend of mine travelled very far. I miss her but feel joy too because fer life is taking the right direction as she wants. So I feel joy for her mainly.	2
 Hi honey ! What ’ s wrong ? Why do you have that look on your face ? 	3
I'm afraid of not being able to go to the school I want because of suffering grades.	1
 $ 5,900 . 	3
I had to terminate a training because I wasn't suited for it. I was very sad about this, because I very much wanted to finish that training.	4
 Yes . 	3
 Why not ? 	3
Merrill laughed at her dejection . 	4
Town 's fans are angry at losing the club 's leading scorer . 	0
The last time I felt it was when I was coming home late at night.	1
 So ? 	3
When abroad, while driving a car along a dark, winding road.	1
 Yeah . 	3
This causes considerable annoyance to the Germans , who find themselves being forced to speak English and say that they will settle the matter ` by decree " . 	0
Stephanie ! Did you just get to school ? But you were up and about when I left the dorm this morning ! That was about an hour and a half ago . This happens all the time ! Why do you always take so long to get ready the morning ? 	0
 Any more ? 	3
Perhaps the mural makes it new , so shamelessly bright upon the wall like something spilt , and the restless assortment of weekend patrons who watch the stage with agitated and expectant eyes . 	1
Behind the front door hovered a small and wiry man who appeared greatly agitated and whose polished bald head was flushed and sweating profusely in spite of the cold . 	1
 Poor guy . 	3
When I was selected to a University College of Nursing.	2
 Oh , I see . 	3
When I was accepted as a student at the college, not having thought it possible.	2
I received a wedding invitation from an ex-flatmate, enclosed was a small note that overcame a lot of the differences that had arisen between us due to the circumstances in which she left the flat.	2
A female classmate was always late for meetings which were for the homework and not social gatherings.  We were very busy and the deadline was close but we had to waste half an hour or an hour waiting for her as we could do nothing else then.	0
 No , Madam . I don't think I do . 	4
 No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . 	3
I was alone at home, a man forced the front door which was locked, forced and tried to open a window.	1
not afraid of tomorrow, for I have seen yesterday and I love today #less	1
are you in love with me ?	3
At night when I was coming from Lingadzi Inn I heard a hyena crying in the Lingadzi jungle. I was alone.	1
 Well , have a great time ! 	2
Cowed , he stiffened his stance , his eyes slightly downcast . 	4
 I ’ m not looking for excuses here . I just want to get this finished on time ! 	0
When I failed two subjects last year.	4
